Tat_tan_tat_vu_tru_DI_NHAN_pha_00000_6.84s|Hãy nói với tôi là không phải chỉ mình tôi hồi bé lấy ba cái đũa hoặc là ba cái bút nhét vào kẽ tay xong rồi giơ lên giả làm Wolverine đi.|hãy nói với tôi là không phải chỉ mình tôi hồi bé lấy ba cái đũa hoặc là ba cái bút nhét vào kẽ tay xong rồi giơ lên giả làm wolverine đi. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00001_6.06s|Tôi vẫn nhớ rất rõ hồi đấy đá bội sông bắt cơm xong rồi phải nán lại trước TV để xem X-Men Evolution trên Cartoon Network.|tôi vẫn nhớ rất rõ hồi đấy đá bội sông bắt cơm xong rồi phải nán lại trước ti vi để xem x men evolution trên cartoon network. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00002_5.05s|Xem xong quên tắt TV, há hức bộ trại đi học thêm để kịp bàn luận với bọn bạn về tập vừa chiếu.|xem xong quên tắt ti vi, há hức bộ trại đi học thêm để kịp bàn luận với bọn bạn về tập vừa chiếu. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00003_4.73s|Nội dung thì không phải là kiểu bình luận phê bình cái thứ đâu mà chỉ là Tao thích ông này hơn, không, ông kia mạnh hơn,|nội dung thì không phải là kiểu bình luận phê bình cái thứ đâu mà chỉ là tao thích ông này hơn, không, ông kia mạnh hơn, 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00004_3.34s|bà này xinh hơn, không, tao là người xói, không, tao là Cyclops bất cứ.|bà này xinh hơn, không, tao là người xói, không, tao là cyclops bất cứ. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00005_5.00s|Và rồi một ngày đẹp trời tôi được chạm tay vào đĩa DVD X-Men mà bố mua về cho.|và rồi một ngày đẹp trời tôi được chạm tay vào đĩa dvd x men mà bố mua về cho. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00006_4.33s|Lúc đấy mình nhìn thấy giáo sư X đầu chập xong là người xói dâu quái nón bằng xương bằng thịt.|lúc đấy mình nhìn thấy giáo sư x đầu chập xong là người xói dâu quái nón bằng xương bằng thịt. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00007_2.61s|Hú... Chả ngủ phê.|hú... chả ngủ phê. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00008_3.89s|Chứ kể không phải chị màu xanh biết biến hình xong rồi không có con áo để xem phê vai đái.|chứ kể không phải chị màu xanh biết biến hình xong rồi không có con áo để xem phê vai đái. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00009_4.29s|Khoảng khách đó với một đứa trẻ nó giống như kiểu một thân trời mới, một ký ức lõi được mở ra.|khoảng khách đó với một đứa trẻ nó giống như kiểu một thân trời mới, một ký ức lõi được mở ra. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00010_5.23s|Tính từ năm 2000 đến nay, tức là tròn 26 năm, Vũ trụ X-Men đã cho ra đời 14 phim điện ảnh live action.|tính từ năm hai nghìn đến nay, tức là tròn hai mươi sáu năm, vũ trụ x men đã cho ra đời mười bốn phim điện ảnh live action. 
Tat_tan_tat_vu_tru_DI_NHAN_pha_00011_2.18s|Và câu chuyện hậu trường thì chắc các anh em cũng biết cả rồi.|và câu chuyện hậu trường thì chắc các anh em cũng biết cả rồi. 
